id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
524,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,1,2,-2,-2,-2,1,-2,0,-2,-1,-2,1,-1,-1,-1,1
525,Entre 35 y 54 años,Primaria COMPLETA,Mujer,González Catán,1,1,-1,-2,1,0,0,0,0,0,-2,0,0,0,1,1
526,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,3,3,1,-3,-3,-3,-3,0,0,-3,-3,0,-3,0,1,1
527,55 años o más,Secundaria COMPLETA,Hombre,Ramos Mejía,-3,-3,-3,-1,2,2,-1,0,1,1,1,1,0,0,-3,2
528,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,-3,-3,-3,1,1,1,-1,0,-1,0,-1,0,-2,-2,-3,2
529,Entre 25 y 34 años,Terciario INCOMPLETO,Hombre,Isidro Casanova,-3,-3,-3,-2,1,2,1,0,-3,-2,-1,0,0,0,-3,2
530,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Villa Celina,1,-1,-1,-1,1,2,-1,0,1,1,3,0,0,0,2,2
531,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,-3,-3,-3,1,1,-1,1,0,1,2,2,3,2,1,-3,2
532,55 años o más,Secundaria INCOMPLETA,Hombre,Laferrere,-3,-3,-3,-1,2,1,1,0,2,1,-1,0,-2,-1,-1,2
533,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ciudad Evita,-1,-3,-3,-1,1,1,1,0,-2,-2,-2,1,-3,0,-3,2
534,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,-1,2,-2,-3,1,2,-1,0,0,0,-3,0,0,0,2,1
535,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Ramos Mejía,1,1,-1,-1,-2,0,-2,0,0,0,-3,0,1,0,-1,1
536,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Laferrere,-2,-2,-2,-1,1,0,1,0,0,0,1,1,-1,0,-3,2
537,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,1,1,1,-2,2,-1,-3,0,0,-1,-2,0,1,0,-1,1
538,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,González Catán,-2,-2,-2,-2,-2,0,-1,0,0,0,-2,0,-2,0,-1,1
539,Entre 25 y 34 años,Terciario COMPLETO,Mujer,Laferrere,1,1,-1,-2,1,0,-3,0,-1,0,-2,0,0,0,1,1
540,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Laferrere,2,-3,-3,-3,1,1,-2,0,0,0,-3,1,0,0,-2,2
541,55 años o más,Secundaria INCOMPLETA,Hombre,Lomas del Mirador,-3,-3,-3,-1,1,2,1,0,0,0,1,3,0,0,-3,2
542,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,La Tablada,-1,-1,-3,-3,-1,-1,-3,0,-1,0,-3,0,-3,0,-1,1
543,55 años o más,Terciario COMPLETO,Hombre,Villa Celina,-3,-3,-3,-3,0,0,2,0,2,2,3,3,1,0,-3,2
544,Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ramos Mejía,-2,-3,-3,3,3,-1,-1,0,3,1,1,3,0,0,-1,2
545,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,3,3,3,-3,-3,0,-2,0,0,0,-2,0,0,0,2,1
546,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Rafael Castillo,2,2,2,1,2,1,2,0,1,1,-3,1,1,1,1,2
547,Entre 35 y 54 años,Universitario COMPLETO,Mujer,González Catán,1,2,1,-1,-1,0,-3,0,0,0,-3,0,0,0,1,1
548,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Rafael Castillo,1,2,-2,-2,-2,0,0,0,-1,0,-2,0,-2,0,1,1
549,55 años o más,Secundaria COMPLETA,Mujer,Lomas del Mirador,0,3,-3,0,3,0,1,0,0,-1,-1,-1,-2,1,-1,2
550,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Laferrere,2,3,1,-2,-2,-1,-3,0,-3,1,-3,1,-2,-1,2,1
551,Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Villa Madero,3,3,2,-3,3,0,3,0,0,0,-3,0,2,0,2,1
552,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Isidro Casanova,-3,-2,-3,-3,-3,0,-3,0,0,0,-3,0,0,0,-3,1
553,55 años o más,Terciario COMPLETO,Hombre,Laferrere,2,3,2,-3,-3,-2,-3,0,0,-3,-3,0,-3,-3,2,1
554,55 años o más,Secundaria INCOMPLETA,Mujer,González Catán,-2,-2,1,2,3,0,0,0,0,0,-1,0,1,0,-1,2
555,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Laferrere,-2,-3,-3,1,2,0,3,0,0,0,-1,0,0,0,1,2
556,Entre 25 y 34 años,Terciario COMPLETO,Mujer,San Justo,-3,-3,-3,1,-1,-3,-1,0,-3,-1,-1,-1,0,-3,-3,2
557,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ciudad Evita,-3,-3,-2,-2,1,-1,1,0,0,0,1,1,0,0,-1,2
558,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Tapiales,2,1,-1,-1,-2,0,-1,0,0,0,-3,0,0,0,1,1
559,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Virrey del Pino,1,2,-1,-2,-1,0,0,0,0,0,-1,0,0,0,1,1
560,55 años o más,Secundaria COMPLETA,Hombre,Ramos Mejía,1,2,1,-3,-2,1,-3,0,-3,-2,-3,-3,-2,0,1,1
561,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Virrey del Pino,-1,-1,-1,-1,-1,0,0,0,0,0,3,0,0,0,-1,2
562,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Rafael Castillo,1,1,-1,-2,-2,0,2,0,0,-1,-1,0,0,0,-2,1
563,55 años o más,Secundaria INCOMPLETA,Mujer,Ciudad Evita,1,3,1,-2,-2,-2,-2,0,0,0,-3,0,0,0,3,1
564,Entre 25 y 34 años,Universitario COMPLETO,Hombre,San Justo,-3,-1,-3,-3,-2,1,-1,0,-1,-3,-3,-3,1,0,-3,1
565,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,2,3,1,-3,-3,-3,-3,0,-3,0,-3,-2,-2,0,3,1
566,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Virrey del Pino,2,2,2,-3,-2,1,-3,0,0,0,-2,0,-1,0,-2,1
567,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,González Catán,-1,2,-1,-3,-3,0,-3,0,0,-3,-3,0,-3,0,-3,1
568,Entre 25 y 34 años,Universitario COMPLETO,Mujer,Ramos Mejía,-2,0,-3,-1,1,0,-3,0,0,0,-3,0,0,0,0,1
569,55 años o más,Universitario INCOMPLETO,Hombre,Isidro Casanova,2,2,1,-3,-3,-2,-3,0,-1,0,-3,0,1,0,1,1
570,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,3,-1,-1,-3,-3,0,-3,0,1,0,-3,-1,-1,0,2,1
571,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Isidro Casanova,-1,-2,-2,-2,-1,-1,-1,0,-1,0,-3,0,0,0,-1,1
572,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Ciudad Evita,-1,1,-3,-3,-3,0,-1,0,0,0,-3,0,-1,0,1,1
573,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Rafael Castillo,2,3,2,-3,-3,-2,-3,0,0,-3,-3,0,-1,0,1,1
574,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ramos Mejía,2,1,1,-3,-3,-1,-3,0,0,0,-3,0,0,0,-1,1
575,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ramos Mejía,-3,-3,-3,1,2,2,1,0,0,0,1,0,0,0,-1,2
576,55 años o más,Terciario COMPLETO,Mujer,Ramos Mejía,-2,-2,-2,1,3,2,1,0,2,0,2,2,0,0,-3,2
577,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,1,3,2,-2,-3,-3,-3,0,0,-1,-3,0,0,0,-1,1
578,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Laferrere,3,1,0,2,2,0,0,0,0,1,0,1,0,0,1,2
579,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Isidro Casanova,-1,3,-1,-3,-3,-1,-3,0,0,-1,-3,-1,-3,-1,-1,1
580,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Laferrere,1,1,-1,-3,-3,0,2,0,0,0,-3,0,0,0,1,1
581,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ciudad Evita,-2,-3,-3,-3,-2,-1,-3,0,0,0,-3,-1,-1,0,-3,1
582,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,San Justo,-1,-1,-2,-2,-3,0,-3,0,0,0,-3,0,0,0,-2,1
583,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,1,1,-3,-2,-1,-1,-2,0,0,0,-2,0,0,0,1,1
584,Entre 25 y 34 años,Terciario COMPLETO,Mujer,San Justo,1,3,-1,-2,1,2,2,0,-2,-2,-3,0,-2,0,1,1
