edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Rafael Castillo,Regular positiva,Regular positiva,Positiva,Regular positiva,Positiva,Positiva,Regular positiva,Regular positiva,Negativa,Regular positiva,Regular positiva,Positiva,No lo conozco,Positiva,Positiva
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,Muy negativa,Regular positiva,Regular positiva,Muy negativa,Regular positiva,No lo conozco,Positiva,Regular positiva,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular negativa
Entre 25 y 34 años,Universitario COMPLETO,Mujer,San Justo,Muy positiva,Muy positiva,Regular positiva,Regular negativa,Positiva,Regular positiva,Muy negativa,Regular positiva,Regular positiva,No lo conozco,Negativa,Regular positiva,No lo conozco,Regular positiva,Positiva
Entre 25 y 34 años,Primaria COMPLETA,Mujer,Laferrere,Regular positiva,Negativa,Muy negativa,Negativa,Regular positiva,Regular negativa,Positiva,Regular positiva,No lo conozco,No lo conozco,Negativa,Regular negativa,Regular positiva,Regular positiva,Regular positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,Regular positiva,Regular positiva,Negativa,Muy negativa,Negativa,Negativa,Regular negativa,Regular positiva,Regular positiva,No lo conozco,Muy positiva,Regular negativa,Regular positiva,Regular negativa,Negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Isidro Casanova,Regular positiva,Regular negativa,Regular positiva,Regular negativa,Negativa,Regular positiva,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa
Entre 35 y 54 años,Primaria COMPLETA,Hombre,González Catán,Regular positiva,Regular positiva,Regular negativa,Muy negativa,Muy positiva,Negativa,Muy negativa,Regular positiva,Regular positiva,Positiva,Muy negativa,Regular negativa,Positiva,Positiva,Regular positiva
Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,Muy negativa,Muy negativa,Muy negativa,Negativa,Positiva,Regular positiva,Muy positiva,Regular positiva,Negativa,Regular negativa,Positiva,No la conozco,Muy negativa,Regular negativa,Muy negativa
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,Negativa,Muy negativa,Muy negativa,Muy positiva,Positiva,Muy positiva,Positiva,Regular positiva,Positiva,No lo conozco,Muy positiva,No la conozco,Positiva,No lo conozco,Negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Laferrere,Muy positiva,Muy positiva,Positiva,Muy negativa,Regular positiva,Regular positiva,Muy negativa,Regular positiva,Regular negativa,No lo conozco,Muy negativa,Negativa,Regular positiva,No lo conozco,Positiva
Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Laferrere,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Positiva,Regular positiva,Regular positiva,Regular positiva,Positiva,Regular positiva,Regular positiva,Regular positiva,Positiva
Entre 35 y 54 años,Universitario COMPLETO,Mujer,La Tablada,Regular positiva,Regular negativa,Negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Negativa,No lo conozco,Regular positiva,No la conozco,No lo conozco,No lo conozco,Regular negativa
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,Regular positiva,Regular negativa,Regular negativa,Regular positiva,Muy positiva,Muy positiva,Regular negativa,Regular positiva,Regular positiva,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva
