edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Más de 55 años,Secundaria INCOMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Universitario COMPLETO,Otro,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Entre 35 y 54 a�,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Universitario COMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Sin estudios,Hombre,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria INCOMPLETA,Otro,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Primaria COMPLETA,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ciudad Evita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ciudad Evita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Mujer,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Terciario INCOMPLETO,Mujer,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Hombre,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Aldo Bonzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Posgrado y más,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria INCOMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria INCOMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Posgrado y más,Hombre,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 a�,Terciario COMPLETO,Mujer,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Villa Madero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Primaria INCOMPLETA,Hombre,Villa Madero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Primaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Hombre,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Terciario COMPLETO,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Universitario COMPLETO,Hombre,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Sin estudios,Otro,Tapiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Terciario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria COMPLETA,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Terciario COMPLETO,Mujer,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Hombre,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Celina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria INCOMPLETA,Hombre,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Madero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria INCOMPLETA,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Primaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria INCOMPLETA,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Primaria COMPLETA,Hombre,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Primaria COMPLETA,Mujer,Lomas del Mirador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Rafael Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria INCOMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Secundaria INCOMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Más de 55 años,Terciario INCOMPLETO,Hombre,Virrey del Pino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otrae 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Mujer,Ciudad Evita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Laferrere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 25 y 34 años,Terciario COMPLETO,Mujer,Villa Luzuriaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,La Tablada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,San Justo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,González Catán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Ramos Mejía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
